Fecha_i;Valor_i
2019-08-31T23:03:00.226Z;6,91667
2019-08-31T22:02:49.912Z;33,25000
2019-08-31T21:02:49.911Z;32,41667
2019-08-31T20:02:50.911Z;32,33334
2019-08-31T19:03:00.227Z;26,83333
2019-08-31T18:02:49.911Z;26,75000
2019-08-31T17:02:49.911Z;32,08333
2019-08-31T16:02:49.912Z;28,83333
2019-08-31T15:02:49.911Z;21,00000
2019-08-31T14:02:49.921Z;19,25000
2019-08-31T13:02:49.912Z;24,16667
2019-08-31T12:02:49.911Z;27,08333
2019-08-31T11:02:49.912Z;30,08333
2019-08-31T10:02:49.911Z;46,75000
2019-08-31T09:02:49.911Z;34,33333
2019-08-31T08:02:49.912Z;34,16666
2019-08-31T07:02:49.922Z;37,33333
2019-08-31T06:02:49.912Z;33,33333
2019-08-31T05:02:49.912Z;30,66667
2019-08-31T04:03:01.226Z;37,00000
2019-08-31T03:02:50.261Z;30,00000
2019-08-31T02:02:50.261Z;30,25000
2019-08-31T01:02:50.251Z;32,25000
2019-08-31T00:02:50.251Z;41,25000
2019-08-30T23:02:50.250Z;29,50000
2019-08-30T22:02:50.250Z;22,91667
2019-08-30T21:02:50.250Z;29,25000
2019-08-30T20:02:50.250Z;20,75000
2019-08-30T19:02:50.251Z;27,75000
2019-08-30T18:02:50.250Z;34,25000
2019-08-30T17:02:50.251Z;31,41667
2019-08-30T16:02:50.251Z;23,33333
2019-08-30T15:02:50.261Z;19,41667
2019-08-30T14:02:50.251Z;17,50000
2019-08-30T13:02:50.250Z;18,33333
2019-08-30T12:02:50.250Z;17,83333
2019-08-30T11:02:50.251Z;17,08333
2019-08-30T10:02:50.250Z;16,91667
2019-08-30T09:02:50.251Z;15,16667
2019-08-30T08:02:50.249Z;25,25000
2019-08-30T07:02:50.251Z;31,75000
2019-08-30T06:02:50.261Z;35,08334
2019-08-30T05:02:50.261Z;22,16667
2019-08-30T04:03:00.574Z;29,08333
2019-08-30T03:02:49.839Z;25,00000
2019-08-30T02:02:49.839Z;16,83333
2019-08-30T01:02:49.838Z;20,00000
2019-08-30T00:02:49.839Z;19,16667
2019-08-29T23:02:50.849Z;14,33333
2019-08-29T22:03:00.153Z;20,16667
2019-08-29T21:02:49.839Z;20,58333
2019-08-29T20:02:49.838Z;19,66667
2019-08-29T19:02:49.838Z;14,91667
2019-08-29T18:02:49.838Z;14,83333
2019-08-29T17:02:49.839Z;22,33333
2019-08-29T16:02:49.839Z;27,33333
2019-08-29T15:02:49.839Z;11,25000
2019-08-29T14:02:49.838Z;9,08333
2019-08-29T13:02:49.839Z;14,83333
2019-08-29T12:02:49.839Z;7,50000
2019-08-29T11:02:49.839Z;11,16667
2019-08-29T10:02:49.839Z;20,41667
2019-08-29T09:02:49.838Z;34,16666
2019-08-29T08:02:49.839Z;35,66667
2019-08-29T07:02:50.839Z;19,66667
2019-08-29T06:03:00.172Z;30,16667
2019-08-29T05:02:49.848Z;29,16667
2019-08-29T04:03:01.156Z;9,25000
2019-08-29T03:02:50.250Z;8,75000
2019-08-29T02:02:50.230Z;18,58333
2019-08-29T01:02:50.160Z;21,50000
2019-08-29T00:02:50.140Z;11,33333
2019-08-28T23:02:50.150Z;22,91667
2019-08-28T22:02:50.140Z;20,58333
2019-08-28T21:02:50.140Z;14,33333
2019-08-28T20:02:50.140Z;14,41667
2019-08-28T19:02:50.200Z;15,33333
2019-08-28T18:02:50.150Z;19,41667
2019-08-28T17:02:51.130Z;16,41667
2019-08-28T16:03:01.328Z;15,50000
2019-08-28T15:03:00.328Z;14,25000
2019-08-28T14:02:50.150Z;11,83333
2019-08-28T13:02:50.140Z;12,50000
2019-08-28T12:02:50.140Z;6,16667
2019-08-28T11:02:50.140Z;8,66667
2019-08-28T10:02:51.140Z;12,41667
2019-08-28T09:03:00.328Z;19,50000
2019-08-28T08:02:51.140Z;19,75000
2019-08-28T07:03:00.328Z;27,75000
2019-08-28T06:02:50.140Z;9,66667
2019-08-28T05:02:50.240Z;9,33333
2019-08-28T04:03:00.347Z;7,08333
2019-08-28T03:02:50.180Z;5,16667
2019-08-28T02:02:50.181Z;4,41667
2019-08-28T01:02:50.181Z;4,91667
2019-08-28T00:02:50.180Z;16,75000
2019-08-27T23:02:51.184Z;24,41666
2019-08-27T22:03:00.493Z;21,50000
2019-08-27T21:02:50.181Z;24,58333
2019-08-27T20:02:50.180Z;22,66667
2019-08-27T19:02:50.180Z;25,33334
2019-08-27T18:02:50.180Z;28,00000
2019-08-27T17:02:50.181Z;29,41667
2019-08-27T16:02:50.180Z;15,83333
2019-08-27T15:02:50.191Z;14,58333
2019-08-27T14:02:50.181Z;31,66666
2019-08-27T13:02:50.187Z;26,16667
2019-08-27T12:02:50.181Z;34,33333
2019-08-27T11:02:51.180Z;15,33333
2019-08-27T10:03:00.495Z;11,66667
2019-08-27T09:02:50.186Z;14,83333
2019-08-27T08:02:50.190Z;25,66667
2019-08-27T07:02:50.181Z;27,58333
2019-08-27T06:02:50.183Z;14,66667
2019-08-27T05:02:50.179Z;14,08333
2019-08-27T04:03:00.514Z;17,83333
2019-08-27T03:02:50.602Z;9,66667
2019-08-27T02:03:00.905Z;14,00000
2019-08-27T01:02:50.591Z;12,41667
2019-08-27T00:03:00.906Z;14,08333
2019-08-26T23:02:50.591Z;17,41667
2019-08-26T22:02:50.602Z;18,16667
2019-08-26T21:02:50.601Z;10,33333
2019-08-26T20:02:50.591Z;24,33333
2019-08-26T19:02:50.592Z;25,50000
2019-08-26T18:02:50.591Z;18,41667
2019-08-26T17:02:50.589Z;18,50000
2019-08-26T16:02:50.591Z;33,25000
2019-08-26T15:02:50.591Z;17,58333
2019-08-26T14:02:50.591Z;12,75000
2019-08-26T13:02:50.591Z;12,25000
2019-08-26T12:02:50.592Z;13,58333
2019-08-26T11:02:50.591Z;13,83333
2019-08-26T10:03:00.905Z;7,83333
2019-08-26T09:02:50.601Z;11,83333
2019-08-26T08:02:50.601Z;26,58333
2019-08-26T07:02:50.601Z;30,75000
2019-08-26T06:02:50.590Z;20,75000
2019-08-26T05:02:49.590Z;13,91667
2019-08-26T04:03:00.915Z;11,75000
2019-08-26T03:02:50.131Z;11,83333
2019-08-26T02:02:50.133Z;11,00000
2019-08-26T01:02:50.132Z;15,33333
2019-08-26T00:02:50.133Z;10,66667
2019-08-25T23:02:51.132Z;10,16667
2019-08-25T22:03:00.447Z;17,91667
2019-08-25T21:02:50.142Z;13,75000
2019-08-25T20:02:50.131Z;11,33333
2019-08-25T19:02:50.142Z;10,25000
2019-08-25T18:02:50.142Z;10,25000
2019-08-25T17:02:50.142Z;11,91667
2019-08-25T16:02:50.142Z;12,91667
2019-08-25T15:02:50.132Z;14,50000
2019-08-25T14:02:50.132Z;12,41667
2019-08-25T13:02:50.132Z;10,41667
2019-08-25T12:02:51.132Z;7,91667
2019-08-25T11:03:00.446Z;4,16667
2019-08-25T10:02:51.135Z;4,16667
2019-08-25T09:03:00.446Z;8,16667
2019-08-25T08:02:50.133Z;9,08333
2019-08-25T07:02:50.132Z;16,91667
2019-08-25T06:02:50.133Z;9,83333
2019-08-25T05:02:50.132Z;5,41667
2019-08-25T04:03:00.471Z;7,83333
2019-08-25T03:02:50.250Z;6,83333
2019-08-25T02:02:50.240Z;8,83333
2019-08-25T01:02:50.250Z;7,33333
2019-08-25T00:02:50.260Z;8,58333
