FECHA_X;Valor_X
2018-12-01T04:01:10.470Z;11,7142858505
2018-12-01T03:01:21.774Z;13,9999990463
2018-12-01T02:01:11.940Z;17,0000000000
2018-12-01T01:01:11.357Z;17,5714302063
2018-12-01T00:01:11.955Z;15,2857131958
2018-11-30T23:01:11.214Z;14,7142848969
2018-11-30T22:01:11.942Z;15,1428575516
2018-11-30T21:01:11.349Z;13,5714292526
2018-11-30T20:01:11.354Z;13,1428565979
2018-11-30T19:01:11.470Z;10,1428565979
2018-11-30T18:01:11.349Z;10,1428575516
2018-11-30T17:01:11.940Z;15,4285717010
2018-11-30T16:01:11.360Z;14,4285707474
2018-11-30T15:01:11.943Z;15,5714282990
2018-11-30T14:01:11.351Z;16,2857151031
2018-11-30T13:01:11.941Z;13,4285717010
2018-11-30T12:01:11.967Z;18,5714282990
2018-11-30T11:01:11.941Z;10,4285717010
2018-11-30T10:01:11.376Z;9,0000000000
2018-11-30T09:01:11.952Z;7,8571429253
2018-11-30T08:01:11.214Z;10,1428565979
2018-11-30T07:01:11.944Z;9,8571424484
2018-11-30T06:01:11.371Z;11,5714282990
2018-11-30T05:01:11.952Z;10,1428575516
2018-11-30T04:01:11.211Z;10,4285717010
2018-11-30T03:01:11.942Z;11,4285717010
2018-11-30T02:01:11.226Z;12,0000000000
2018-11-30T01:01:11.940Z;12,8571434021
2018-11-30T00:01:11.203Z;11,2857141495
2018-11-29T23:01:11.942Z;11,0000009537
2018-11-29T22:01:11.348Z;8,7142858505
2018-11-29T21:01:11.945Z;38,9999961853
2018-11-29T20:01:11.352Z;9,8571424484
2018-11-29T19:01:11.640Z;9,7142858505
2018-11-29T18:01:11.649Z;12,7142858505
2018-11-29T17:01:10.564Z;13,5714282990
2018-11-29T16:01:12.458Z;13,2857151031
2018-11-29T15:01:11.740Z;13,1428565979
2018-11-29T14:01:10.562Z;16,5714263916
2018-11-29T13:01:11.879Z;16,2857131958
2018-11-29T12:01:10.456Z;15,2857131958
2018-11-29T11:01:11.868Z;17,4285717010
2018-11-29T10:01:10.456Z;18,7142868042
2018-11-29T09:01:11.866Z;11,5714282990
2018-11-29T08:01:10.573Z;9,1428565979
2018-11-29T07:01:11.874Z;8,7142858505
2018-11-29T06:01:10.562Z;7,5714287758
2018-11-29T05:01:12.465Z;7,7142858505
2018-11-29T04:01:11.561Z;7,1428575516
2018-11-29T03:01:11.562Z;7,2857146263
2018-11-29T02:01:11.561Z;8,1428565979
2018-11-29T01:01:11.562Z;9,8571434021
2018-11-29T00:01:11.561Z;9,2857141495
2018-11-28T23:01:11.561Z;12,1428565979
2018-11-28T22:01:11.562Z;20,1428565979
2018-11-28T21:01:11.562Z;8,7142858505
2018-11-28T20:01:11.561Z;8,2857141495
2018-11-28T19:01:11.562Z;7,5714287758
2018-11-28T18:01:11.567Z;6,4285717010
2018-11-28T17:01:11.562Z;7,2857146263
2018-11-28T16:01:11.562Z;13,8571424484
2018-11-28T15:01:11.561Z;25,1428565979
2018-11-28T14:01:11.562Z;21,5714263916
2018-11-28T13:01:11.567Z;30,5714282990
2018-11-28T12:01:11.561Z;24,2857131958
2018-11-28T11:01:11.561Z;13,2857141495
2018-11-28T10:01:11.562Z;21,2857151031
2018-11-28T09:01:11.562Z;21,5714282990
2018-11-28T08:01:11.562Z;10,8571434021
2018-11-28T07:01:11.561Z;12,2857141495
2018-11-28T06:01:11.562Z;13,5714282990
2018-11-28T05:01:11.562Z;14,8571414948
2018-11-28T04:01:11.562Z;20,2857131958
2018-11-28T03:01:11.561Z;14,9999980927
2018-11-28T02:01:11.567Z;18,1428585052
2018-11-28T01:01:11.573Z;18,0000000000
2018-11-28T00:01:11.561Z;17,4285717010
